('mihr', ['gâlib', 'ver', 'gül', 'çeşm', 'dil', 'aşk', 'cân', 'gel', 'zülf', 'leb'])
('âyîn', ['mihr', 'gül', 'rûz', 'ver', 'gâlib', 'âlem', 'leb', 'çarh', 'yâr', 'kıl'])
('sâmân', ['bilirem', 'nahl', 'kon', 'tehî', 'hânedân', 'abes', 'yek', 'niçe', 'kamer', 'kalbimdir'])
('şeref', ['bil', 'hâk', 'halka', 'gamze', 'mahabbet', 'dil', 'sâkî', 'âşık', 'tab’', 'hatt'])
('vücûd', ['âşık', 'hatt', 'düş', 'gam', 'feyz', 'dil', 'ver', 'çeşm', 'gâlib', 'gel'])
('tâbân', ['târîh', 'târ', 'sohbet', 'genc', 'nâb', 'hâsılı', 'burc', 'kemân', 'hôş', 'eyleş'])
('derrâk', ['farz', 'hehr', 'kod', 'bâis', 'gonca', 'manî', 'takrîr', 'zâde', 'mesîh', 'yûsuf'])
('imkân', ['memnûn', 'âgâh', 'ihtimâm', 'harem', 'müdâm', 'cem’', 'hükm', 'bâm', 'yûsuf', 'ezel'])
('gerdûn', ['dil', 'âlem', 'mâh', 'gam', 'kal', 'gel', 'âteş', 'ver', 'ehl', 'leb'])
('zühre', ['b', 'hûn', 'sezâ', 'cevr', 'iste', 'çık', 'inkâr', 'perde', 'erbâb', 'nihân'])
('külhan', ['sâlikân', 'teklîf', 'cünd', 'tarab', 'vâsıl', 's', 'cân-sûz', 'handânım', 'lal', 'kâfûr'])
('dön', ['çarh', 'aşk', 'eger', 'felek', 'çeşm', 'feyz', 'hâl', 'ver', 'san', 'âb'])
('eyyâm', ['eyleş', 'ihsân', 'sâl', 'çeşm', 'hüsn', 'naza', 'dah', 'cihân', 'aşk', 'nâm'])
('meydan', ['bâlâ', 'ûd', 'güft', 'alup', 'dede', 'nâ-kâm', 'leyl', 'göster', 'hâr', 'heybet'])
('mahabbet', ['gel', 'hazret', 'dil', 'cân', 'aşk', 'çeşm', 'yâr', 'kıl', 'gâlib', 'san'])
('târîk', ['dâg', 'rûşen', 'zamân', 'hayâ', 'berk', 'terk', 'çerâg', 'safâ', 'hâk', 'söz'])
('meş’al', ['kenâr', 'kevser', 'rûzgâr', 'nevâ', 'mâye', 'manâ-yı', 'heh', 'gûyiyâ', 'eyâ', 'bîşe'])
('eyvân', ['karz', 'per', 'çek', 'bugün', 'kâkül', 'nâr', 'eser', 'gösteri', 'berk', 'sipihr'])
('devşir', ['efrâd', 'alâmet', 'gaznevî', 'irâde', 'şitâ', 'peymâ-yı', 'mezâmîn', 'mizâc', 'nâmûs', 'tecellâdır'])
('vakt', ['subh', 'anı', 'cihân', 'görü', 'dil', 'şem’', 'ver', 'âteş', 'sırr', 'gör'])
('nisâr', ['meydân', 'top', 'fark', 'şule', 'âdem', 'seher', 'ayn', 'harâb', 'almış', 'rû'])
('ednâ', ['cennet', 'mıdır', 'vasf', 'rûşen', 'alıp', 'bâ', 'sakın', 'saf', 'söyle', 'sîne'])
('kul', ['savâb', 'zümre', 'kerâmet', 'pür-nûr', 'kâfi', 'perî', 'mihmân', 'mazhar', 'külâh', 'kâh'])
('sadr', ['nihân', 'geç', 'derd', 'behişt', 'sîne', 'kasr', 'tut', 'rûz', 'gevher', 'halka'])
('çeh', ['pîç', 're’y', 'dehr', 'odur', 'hecr', 'âfâk', 'mıdır', 'sâf', 'sezâ', 'bun'])
('na’l', ['savâb', 'sübha', 'âzürde', 'beden', 'çekîde', 'nefh', 'kün', 'cünd', 'latîfeler', 'dünyâyı'])
('şâhân', ['mestâne', 'edez', 'ana', 'hâr', 'harîm', 'çıkar', 'vasf', 'şûh', 'fakr', 'dergâh'])
('hâsılı', ['gönül', 'mülk', 'târ', 'rûh', 'gülşen', 'çarh', 'reng', 'ban', 'meh', 'hüsnü'])
('kulle', ['pesend', 'yçün', 'pervâne-veş', 'mümkün', 'cemi', 'evtâd', 'yagmaya', 'esbak', 'müstâkîm', 'intizâr'])
('yıka', ['nakkâş', 'cihâd', 'demle', 'tohm', 'dil-rübâ', 'rıdvânı', 'sakla', 'jâle', 'pûşîde', 'reh'])
('velvele', ['mürşîd', 'farzâ', 'belâ-yı', 'remz', 'nâzar', 'sikle', 'serkeş', 'hâlet', 'reg', 'ahşa'])
('nevbet', ['ets', 'gâh', 'selîm', 'nâm', 'meh', 'sultân', 'dâg', 'ş', 'dâim', 'esrâr'])
('gösteri', ['bil', 'yâr', 'feyz', 'gâlib', 'mihr', 'hatt', 'âlem', 'hâk', 'gör', 'görü'])
('dîde', ['ban', 'ver', 'gâlib', 'kal', 'gör', 'âşık', 'çeşm', 'dil', 'gel', 'âlem'])
('harb', ['çerâ', 'hevâ-yı', 'odur', 'olamaz', 'cevher', 'kayd', 'dey', 'rûzgâr', 'yeter', 'gâh'])
('suâl', ['dîvâr', 'dehen', 'tâk', 'sâkî', 'gönül', 'gelir', 'nev', 'bûy', 'âyîneden', 'pervâne'])
('hakkâ', ['aşkın', 'dehen', 'etme', 'şûh', 'bâl', 'baş', 'himmet', 'âlem', 'geç', 'dîde'])
('mesned', ['demş', 'sakın', 'baş', 'd', 'bahş', 'gevher', 'lâl', 'pertev', 'etme', 'sîne'])
('kandil', ['meslûl', 'keştî', 'gâh', 'kerâmet', 'cihâd', 'als', 'gayret', 'huzûr', 'maksûd', 'nol'])
('dâmân', ['sırr', 'bîmâr', 'pîr', 'göz', 'nakş', 'hâtır', 'hicrân', 'la’l', 'söyle', 'aşkın'])
('gülistân', ['sûret', 'gâlib', 'çarh', 'cân', 'safâ', 'dah', 'himmet', 'rûh', 'nigâh', 'gam'])
('efendi', ['aşk', 'ver', 'dil', 'çeşm', 'gâlib', 'hazret', 'mâh', 'sultân', 'düş', 'hâl'])
('kat', ['çarh', 'leb', 'ehl', 'hüsnü', 'dah', 'ban', 'mihr', 'hurşîd', 'eger', 'kıl'])
('galat', ['vahdet', 'la’l', 'gûyâ', 'cenâb', 'sırr', 'cihân', 'dîde', 'bend', 'cân', 'âşık'])
('gönül', ['gâlib', 'dil', 'ver', 'feyz', 'kıl', 'hâl', 'zülf', 'çeşm', 'mâh', 'gel'])
('bâm', ['sipihr', 'cây', 're’y', 'zât', 'zîr', 'ülfet', 'suhan', 'rûşen', 'şîr', 'mey'])
('dîvâr', ['çık', 'pervâne', 'suhan', 'felek', 'hayâl', 'söz', 'âb', 'eşk', 'leb', 'hüsnü'])
('keder', ['tîr', 'hicrân', 'siyeh', 'sipihr', 'tâb', 'düş', 'ayn', 'zülf', 'bil', 'ets'])
('ol', ['dest', 'gül', 'gâlib', 'gülşen', 'gam', 'aşk', 'rûz', 'hazret', 'dil', 'zülf'])
('sakf', ['mahsûs', 'işit', 'seyf', 'eş’âr', 'hevâ-yı', 'tehî', 'tebessüm', 'mesnevî', 'tarîkat', 'pençe'])
('âsmân', ['cihet', 'teng', 'muhammed', 'eşyâ', 'rab', 'rişte', 'himem', 'cem’', 'kana', 'râz'])
('vîrâne', ['gâh', 'çarh', 'devlet', 'mecnûn', 'zamân', 'mahabbet', 'feyz', 'hayret', 'pîr', 'bâl'])
('tahta', ['sıddîk', 'hôş', 'devri', 'revzen', 'bâr', 'cem', 'velî', 'çâh', 'tamâm', 'matbah'])
('vîrân', ['berk', 'derûn', 'hân', 'uşşâk', 'ömr', 'mahabbet', 'olduium', 'tavr', 'hûn', 'cihân'])
('basîret', ['nâle', 'olmaya', 'küşâd', 'şehr', 'pâre', 'serâser', 'devri', 'leylâyı', 'piyâle', 'olıcak'])
('revzen', ['ned', 'devlet', 'meh', 'sûret', 'bak', 'mehtâb', 'çarh', 'zülf', 'perde', 'eyleyip'])
('gider', ['murg', 'nigâh', 'rûy', 'sâkî', 'tîr', 'pervâne', 'eşk', 'leşker', 'olduium', 'tâze'])
('seyl', ['rûz', 'feyz', 'kadr', 'sûret', 'reng', 'bâl', 'gürûh', 'kal', 'anı', 'sûz'])
('cârî', ['nükte', 'olunca', 'penâh', 'teng', 'gâr', 'mevzû', 'etmekde', 'âyîneden', 'târîhi', 'henûz'])
('sohbet', ['ban', 'gel', 'kal', 'zülf', 'dil', 'çeşm', 'gâlib', 'gam', 'gamze', 'kıl'])
('uşşâk', ['san', 'cihân', 'mihr', 'çeşm', 'ehl', 'gel', 'gör', 'mey', 'gâlib', 'dil'])
('âsâr', ['zülf', 'hicrân', 'dil', 'eşk', 'rûz', 'bil', 'mevc', 'ver', 'nigâh', 'pervâne'])
('kesret', ['kân', 'el-hak', 'kemân', 'kâfi', 'gûy', 'şâm', 'eş’âr', 'bûy', 'mînâ-yı', 'dâim'])
('bâr', ['kıl', 'hâk', 'râh', 'dil', 'söz', 'âlem', 'ver', 'aşk', 'ban', 'cân'])
('cây', ['eşk', 'cân', 'lutf', 'mey', 'çeşm', 'subh', 'aşk', 'gamze', 'hâk', 'dah'])
('vâr', ['gelş', 'burc', 'gûyâ', 'târ', 'nutk', 'zehr', 'elde', 'sirişk', 'bâd', 'gürûh'])
('mevt', ['nakd', 'berk', 'bun', 'tıfl', 'burc', 'hems', 'bûs', 'cem', 'nâle', 'hicrân'])
('eczâ', ['pül', 'târâb', 'mükemmel', 'magz', 'bî-tûşe', 'âsitân', 'cihângîr', 'acâbâ', 'öte', 'namâz'])
('hüveydâ', ['çeker', 'imdâd', 'fettân', 'olduiun', 'tanbûr', 'niyâz', 'nümâyân', 'dehen', 'iklîm', 'habâb'])
('seylâb', ['seyf', 'tanzîm', 'hîç', 'meh', 'sitem', 'mevlânâdır', 'elmâs', 'baht', 'behişt', 'man'])
('ta’mîr', ['rûşen', 'ömr', 'hüsn', 'nakş', 'semâ', 'çemen', 'arz', 'cemâl', 'nûr', 'şem’'])
('delik', ['kapı', 'yaş', 'adem', 'b-', 'lezîz', 'sad-dâne', 'tahrîr', 'sensiz', 'der-âgûş', 'işret'])
('muhtâc', ['-nâm', 'arşa', 'bang', 'târîhd', 'dâmân', 'göster', 'elmâs', 'ko', 'alur', 'dünyâya'])
('engüşt', ['yer', 'deiil', 'hasret', 'ihsân', 'kıl', 'nâz', 'âftâb', 'dah', 'şarâb', 'gam'])
('mânend', ['etme', 'sultân', 'dil', 'âb', 'çeşm', 'hâl', 'gel', 'pîr', 'mey', 'cân'])
('peşşe', ['lisân', 'abâ', 'revnak', 'müje', 'havf', 'pîş', 'hudâ-yı', 'emîn', 'kûh', 'kışla'])
('mümkin', ['pervâne', 'hüsnü', 'h', 'hümâ', 'fikr', 'dîde', 'hezâr', 'allâh', 'demş', 'dest'])
('bırak', ['ehl', 'hatt', 'râh', 'devrân', 'yâr', 'cihân', 'meger', 'ban', 'lutf', 'kâr'])
('üstâd', ['sâgar', 'mânend', 'vuslat', 'dest', 'mey', 'gülşen', 'sultân', 'âb', 'gül', 'hayf'])
('tîşe', ['dûzah', 'kadeh', 'seyf', 'dâne', 'âheng', 'yanî', 'âyîn', 'rû', 'bîmâr', 'mehtâb'])
('nukûş', ['sâkî', 'lafz', 'dî', 'nigeh', 'hâk', 'neş’e', 'mehtâb', 'arş', 'dâim', 'âb'])
('mevcûd', ['edinceye', 'akd', '\x17ehîd', 'şâyân', 'ber-vefk', 'etmeyen', 'yümn', 'gülbün', 'fettân', 'a’lâ'])
('âyâ', ['hümâ', 'efend', 'belâ', 'nesîm', 'meclis', 'gön', 'sezâ', 'nigeh', 'geç', 'değeriş'])
('gözle', ['etdin', 'ol', 'târîhini', 'dildâr', 'âsâr', 'yohsa', 'çek', 'asl', 'dûr', 'ihyâ'])
('bîdâr', ['yâhûd', 'vuslat', 'dehân', 'seyr', 'bâ', 'sakın', 'hûn', 'çık', 'ruhsâr', 'amân'])
('maksûd', ['tut', 'şâh', 'bezm', 'gülzâr', 'âteş', 'sultân', 'pîr', 'bahâr', 'mâh', 'gâlib'])
('ezkâr', ['nazar', 'gama', 'sâm', 'evtâd', 'neler', 'hâmil', 'sadâ-yı', 'hâtem', 'saâdet', 'sabâha'])
('devri', ['söyle', 'bûy', 'ana', 'hâl', 'leb', 'sîne', 'bâd', 'devlet', 'dest', 'hîç'])
('düşvâr', ['an', 'âyîne-dâr', 'tevfîkine', 'izhâr', 'cslâma', 'tal’at', 'illet', 'nâze', 'münîri', 'tarîk'])
('peyâm', ['şems', 'la’l', 'âheng', 'nutk', 'ömr', 'hayâl', 'gerdûn', 'şeh', 'nâb', 'dîdâr'])
('zûr', ['hayâ', 'tıfl', 'gösteri', 'cemâl', 'hicrân', 'yâd', 'dîde', 'bil', 'subh', 'seyr'])
('niyyet', ['sarf', 'vâdî', 'nihân', 'sadâ-yı', 'şâd', 'hümâ', 'yan', 'merâm', 'duâ-yı', 'dîdâr'])
('asla', ['beher', 'ftl', 'mahsûs', 'hâbâb', 'hayrânı', 'mâil', 'hû', 'kangı', 'mamûr', 'mıyım'])
('remz', ['târîh', 'haste', 'cüdâ', 'tâk', 'gön', 'hum', 'cemâl', 'bâl', 'iste', 'seyf'])
('neler', ['etdin', 'ned', 'alıp', 'hız', 'hâk', 'rûy', 'and', 'gülşen', 'kâr', 'dî'])
('yap', ['hatt', 'kal', 'himmet', 'çeşm', 'dîde', 'hazret', 'gör', 'bahâr', 'ehl', 'gâlib'])
('ömr', ['âlem', 'düş', 'ver', 'gâlib', 'çeşm', 'nûr', 'hâl', 'gevher', 'dil', 'feyz'])
('davet', ['\x17eyh', 'kesret', 'kevkeb', 'sahba', 'hidâyet', 'ahter', 'acz', 'eylek', 'yye', 'eflâk'])
('gaddâr', ['kamer', 'defter', 'pür', 'almadan', 'kusûr', 'îd', 'âlî', 'efzûn', 'havz', 'dâi'])
('yüzde', ['manevî', 'aldı', 'dûr', 'katre', 'cânân', 'oldugun', 'niçe', 'kayd', 'cûş', 'kâmet'])
('süm', ['humâr', 'hazret-', 'döner', 'tarîkat', 'hâr', 'neler', 'vahdet', 'şevk', 'sakın', 'kadr'])
('çeker', ['hicrân', 'nâm', 'dîde', 'lutf', 'subh', 'nûr', 'ver', 'nâz', 'dest', 'safâ'])
('izz', ['derle', 'eylek', 'cüdâ', 'âdem', 'h', 'ets', 'dâim', 'edince', 'lafz', 'arş'])
('baht', ['cihân', 'ban', 'gör', 'aşk', 'sîne', 'san', 'cân', 'gel', 'reng', 'çeşm'])
('hecr', ['anı', 'hat', 'mıdır', 'gamze', 'zât', 'düş', 'irfân', 'hatt', 'hasret', 'câm'])
('gün', ['gâlib', 'gül', 'gel', 'san', 'ver', 'çeşm', 'gör', 'mihr', 'zülf', 'kal'])
('vuslat', ['çeşm', 'dil', 'ban', 'ver', 'âteş', 'gâlib', 'gam', 'sâye', 'mihr', 'gül'])
('izhâr', ['efgân', 'dîvâr', 'edince', 'getir', 'allâh', 'gülistân', 'vîrâne', 'dîvân', 'çü', 'vakt'])
('hatm', ['mâye', 'lâzım', 'yer', 'terk', 'mâ', 'elfâz', 'dûzah', 'bâd', 'anla', 'şevket'])
('îcâd', ['perîşân', 'monlâ', 'gön', 'hümâ', 'mir’ât', 'bahr', 'cemâl', 'yâkût', 'zâr', 'mâhtâb'])
('eş’âr', ['siyeh', 'meger', 'şem’', 'hazret', 'nakş', 'cihân', 'cân', 'aşk', 'cenâb', 'âşık'])
('sem', ['hançer', 'çek', 'ömr', 'himmet', 'gûyâ', 'ihsân', 'gam', 'gerdûn', 'gâlib', 'hatt'])
('ferâmuş', ['gülüdür', 'duâ', 'sendedir', 'eş’âr', 'gûyiyâ', 'mazûr', 'hâzır', 'sulh', 'hasta', '\x17âh'])
('şâir', ['pür', 'derûn', 'zamân', 'âhir', 'tıfl', 'şevk', 'terk', 'selîm', 'meger', 'hasret'])
('sehhâr', ['çerâ', 'mihnet', 'üstün', 'tevfîk', 'leşker', 'endâm', 'penbe', 'pây', 'edicek', 'mesîh'])
('tehniyet', ['nümâyan', 'muammer', 'rüsvâ', 'âsumân', 'arâb', 'mana', 'hat-âver', 'tercî', 'terbiye', 'güzel'])
('meserret', ['gülistân', 'âlî', 'tahmîs-', 'gayb', 'nümâyândır', 'heyh', 'vâkıf', 'hâsılı', 'lâl', 'dûr'])
('sitemkâr', ['yerin', 'sebîl', 'ederiz', 'evliyâ', 'anla', 'olıcak', 'anâsır', 'tîz', 'garîb', 'gül-'])
('reftâr', ['hâme', 'tanbûr', 'âş', 'yana', 'tîg', 'murâd', 'ana', 'evliyâ', 'endîşe', 'arz'])
('efzûn', ['bülbül', 'ban', 'bak', 'dîde', 'bahâr', 'söz', 'gel', 'şâh', 'etme', 'cihân'])
('edi', ['gülbün', 'eier', 'deşt', 'f', 'dolaş', 'nümâyân', 'elde', 'terâne', 'ejder', 'almadan'])
('âheng', ['mihr', 'rûh', 'târ', 'hâl', 'gel', 'gör', 'ban', 'çeşm', 'âşık', 'cihân'])
('nâim', ['hicâb', 'bâis', 'niyâz', 'habâb', 'bedel', 'dûd', 'sâhil', 'kon', 'mahşer', 'şîşe'])
('açı', ['âb', 'hüsnü', 'gevher', 'mihr', 'mevc', 'bil', 'kıl', 'gâlib', 'söyle', 'gör'])
('nergis', ['gam', 'gel', 'söz', 'düş', 'âteş', 'san', 'dil', 'leb', 'et', 'çarh'])
('keyf', ['huzûr', 'vefât', 'etdigi', 'berg', 'mis', 'pîç', 'güftâr', 'kebâb', 'harîr', 'akla'])
('sünbül', ['himmet', 'âlem', 'çeşm', 'gamze', 'âb', 'lutf', 'feyz', 'ver', 'gam', 'âşık'])
('çöz', ['def', 'abes', 'meşrik', 'âmâl', 'csterim', 'zerrîn', 'mutlak', 'sadâ-yı', 'hoşnûd', 'hasâret'])
('tekellüf', ['handân', 'saff', 'cem’', 'nâ-mevcûd', 'şi’r', 'âlî', 'aldı', 'münevver', 'keyfi', 'neler'])
('keyfiyyet', ['hayrân', 'tavr', 'ned', 'tîr', 'meger', 'arş', 'elde', 'sefîd', 'and', 'çerâg'])
('neşve', ['hu’le', 'takdîm', 'bahs', 'mansûr', 'söylen', 'nâs', 'ayak', 'teng', 'zahm', 'deşt'])
('yayıl', ['ayân', 'mahsûs', 'nây', 'eylek', 'melâl', 'geçe', 'duâ-yı', 'nişân', 'mînâ', 'der-vasf'])
('hevâ', ['perde', 'suhan', 'pâk', 'dâm', 'cânân', 'gevher', 'gel', 'vasf', 'bend', 'ban'])
('târ', ['âteş', 'ver', 'ban', 'zülf', 'düş', 'mihr', 'yâr', 'kıl', 'aşk', 'dil'])
('zevrak', ['har', 'çâr', 'sahbâ', 'şîşe', 'tama’', 'sefîd', 'levh', 'nefy', 'sermâye', 'dürû'])
('lâle', ['karâr', 'bekâ', 'kebûd', 'âhir', 'elfâz', 'fitne', 'dün', 'cedîd', 'visâl', 'resm'])
('jâle', ['hak', 'man', 'tâb', 'âh', 'şem’', 'ayn', 'tut', 'kasr', 'çerâg', 'derd'])
('mevce', ['et', 'efendi', 'sîne', 'hat', 'gör', 'etme', 'dest', 'derd', 'hüsn', 'hazret'])
('ezhâr', ['ferâi', 'cûş', 'olduiun', 'mesrûr', 'çerâgân', 'etsem', 'kâh', 'nol', 'ma’nâ', 'oldugun'])
('kan', ['hüsnü', 'şâh', 'ban', 'söyle', 'çeşm', 'gör', 'sîne', 'dil', 'gül', 'zülf'])
('ciger', ['pertev', 'rûy', 'ferş', 'hudâ', 'himmet', 'geç', 'tavr', 'ömr', 'hâtır', 'semâ'])
('gonce', ['yâr', 'gevher', 'gül', 'zülf', 'ban', 'ehl', 'aşk', 'gâlib', 'gör', 'mey'])
('mest', ['kıl', 'gül', 'çeşm', 'ver', 'gâlib', 'dil', 'zülf', 'aşk', 'nûr', 'gör'])
('cû', ['arş', 'mazhar', 'ş', 'yaraş', 'ümmîd', 'teşrîf', 'nev', 'esrâr', 'dehân', 'behişt'])
('seher', ['hançer', 'bak', 'âlem', 'kıl', 'gâlib', 'ver', 'âteş', 'hâzret', 'çarh', 'ban'])
('eyleş', ['dil', 'çarh', 'çeşm', 'hüsnü', 'ver', 'aşk', 'sultân', 'âlem', 'gâlib', 'gül'])
('humâr', ['bahâr', 'felek', 'lutf', 'mâh', 'ver', 'reng', 'zîr', 'şem’', 'vasf', 'cân'])
('yerin', ['beyhân', 'h', 'yana', 'etdim', 'nefes', 'yâkût', 'efend', 'bul', 'cümle', 'perde'])
('sirâyet', ['hazer', 'muri', 'bugün', 'bâde', 'nigâr', 'muhammedle', 'te’sîr', 'bakı', 'hem-vâre', 'rind'])
('huşk', ['belâ', 'sipihr', 'ets', 'geç', 'nev', 'rû', 'et', 'mahabbet', 'gamze', 'hâme'])
('sebz', ['kal', 'ver', 'dil', 'aşk', 'gâlib', 'görü', 'şu’le', 'âlem', 'lutf', 'gül'])
('hâsıl', ['dildâr', 'etme', 'rûy', 'bak', 'b', 'bezm', 'göz', 'gamze', 'yâkût', 'mey'])
('çenâr', ['nâs', 'mustafâ', 'dûş', 'penbe', 'kurbân', 'medh', 'fenâ', 'bîhûde', 'kasîde-', 'beste'])
('neşv', ['ol', 'gülgûn', 'mehtâb', 'çemen', 'maksûd', 'cevr', 'arz', 'terk', 'vücûd', 'girdâb'])
('nemâ', ['saf', 'ruhsâr', 'gösteri', 'değeriş', 'bilz', 'güft', 'dergâh', 'vuslat', 'mânend', 'matlab'])
('terbiye', ['âheng', 'dildâr', 'harîm', 'mazhar', 'ş', 'yaz', 'cennet', 'söz', 'çîn', 'tanbûr'])
('gülnâr', ['kâşâne', 'üstâd', 'irfân', 'bahş', 'müjgân', 'olamaz', 'ebr', 'sâl', 'nem', 'monlâ'])
('letâfet', ['bîmâr', 'söyle', 'b', 'cevr', 'geç', 'dî', 'rûh', 'rütbe', 'hayâl', 'rûy'])
('atlas', ['kerâmet', 'şâh', 'hân', 'sırr', 'dü', 'vücûd', 'gam', 'kasr', 'tîg', 'yap'])
('kenâr', ['hâ', 'seng', 'per', 'îmân', 'meh', 'dî', 'geh', 'al', 'rişte', 'hân'])
('havza', ['ihtimâm', 'îsâr', 'minnet', 'bâdâm', 'gencîne', 'köhne', 'pîr-', 'gülle', 'hadd', 'da’vât'])
('işve', ['etmek', 'man', 'şîr', 'mehtâb', 'ömr', 'yanî', 'dî', 'gamze', 'efendi', 'düş'])
('nesîm', ['âb', 'hayret', 'nûr', 'bezm', 'şem’', 'rûh', 'mest', 'hurşîd', 'çeşm', 'kıl'])
('gülbün', ['gün', 'terk', 'nakş', 'bahâr', 'devlet', 'vasf', 'mest', 'yer', 'düş', 'fikri'])
('dîdâr', ['düş', 'efendi', 'hat', 'mâh', 'lutf', 'hazret', 'aşk', 'çeşm', 'hayâl', 'hüsnü'])
('etfâl', ['sırr', 'göz', 'hûn', 'nâz', 'ayn', 'şâh', 'ban', 'etme', 'd', 'dîde'])
('ümîd', ['feyz', 'bil', 'dah', 'esrâr', 'envâr', 'eyleyip', 'bak', 'gûyâ', 'sultân', 'safâ'])
('cûşân', ['hır', 'sâhil', 'dâir', 'dîvâr', 'manevî', 'nukûş', 'bilirem', 'inkâr', 'selsebîl', 'yoiise'])
('dildâr', ['aşk', 'âteş', 'çeşm', 'göz', 'düş', 'et', 'çarh', 'ban', 'ver', 'zülf'])
('miyân', ['dâm', 'tâze', 'eyleş', 'nev', 'bülend', 'ter', 'ayn', 'teşrîf', 'kemân', 'pervâne'])
('hâlet', ['kalbi', 'gûne', 'yol', 'fitne', 'bâg', 'degildir', 'mübârek', 'alıp', 'seher', 'vefâ'])
('kûh', ['ruh', 'nâz', 'gam', 'anı', 'aşkın', 'sırr', 'hâtır', 'feyz', 'âlem', 'hüsn'])
('asker', ['tâb', 'şem’', 'hüsnü', 'söz', 'âlem', 'safâ', 'ver', 'râh', 'felek', 'rütbe'])
('suver', ['vech', 'hışm', 'fes', 'yem', 'dünyâ-yı', 'tebessüm', 'kalbimdir', 'bî-bedel', 'hevâ-yı', 'sâde'])
('temâşâ', ['bul', 'mahabbet', 'efend', 'dîde', 'gel', 'mâh', 'eylem', 'gül', 'râh', 'hayret'])
('yeşil', ['vahşet', 'âvâz', 'olamaz', 'hümâyûn', 'gösteri', 'vakt', 'hilâl', 'çeki', 'helâk', 'allâh'])
('saf', ['ney', 'hurşîd', 'hayret', 'mâh', 'mihr', 'çerâg', 'gül', 'devlet', 'dah', 'tîr'])
('bülend', ['sîne', 'dah', 'gevher', 'aşk', 'düş', 'han', 'lutf', 'himmet', 'çeşm', 'bil'])
('tekrâr', ['gûş', 'tavr', 'gün', 'nizâm', 'terk', 'bil', 'çerâg', 'kal', 'eyleyip', 'nâz'])
('cem’iyyet', ['bî', 'kışla', 'hârih', 'ârâm', 'monlâyâ', 'gözde', 'ederken', 'kûh', 'ekvân', 'miyân'])
('azm', ['eşk', 'bend', 'meger', 'hâk', 'yâr', 'mehtâb', 'bil', 'bâg', 'nigâh', 'cân'])
('kâmet', ['uşşâk', 'mihr', 'hûn', 'lutf', 'eyleyip', 'kerem', 'anı', 'nakş', 'et', 'zât'])
('kasd', ['gönül', 'mest', 'hâtır', 'hurşîd', 'hak', 'âlem', 'gel', 'mülk', 'âteş', 'rûz'])
('emânet', ['çeki', 'fazl', 'latîf', 'mıyım', 'bit', 'gülsitân', 'muhâl', 'mahv', 'peymâne', 'mesîh'])
('kübrâ', ['kadeh', 'nihân', 'sıhhat', 'etdim', 'bun', 'taht', 'gehî', 'halk', 'kâmet', 'hüner'])
('hasret', ['gâlib', 'cân', 'ver', 'san', 'mihr', 'dil', 'aşk', 'çeşm', 'gül', 'gel'])
('leyl', ['humâr', 'geç', 'dede', 'serâser', 'hüsnü', 'felek', 'çık', 'gonce', 'safâ-yı', 'himmet'])
('nehâr', ['milk', 'serâser', 'hakk', 'gele', 'etmege', 'bî-pâyân', 'esbâb', 'âyet', 'gerd', 'âsâr'])
('kerîm', ['cenâb', 'lutf', 'anı', 'etme', 'çarh', 'sâkî', 'âlem', 'hurşîd', 'zemîn', 'subh'])
('enfâs', ['elde', 'cûş', 'yâd', 'hak', 'hasret', 'şûh', 'perde', 'vahdet', 'tıfl', 'zemîn'])
('şikâr', ['rû', 'hazret-', 'göster', 'bülend', 'dilim', 'hız', 'mestâne', 'cevher', 'pîr', 'rûşen'])
('adâlet', ['doiru', 'serâ-yı', 'aleyh', 'pîşe', 'yâraşır', 'derece', 'tevfik', 'revnâk', 'pul', 'hîz'])
('mevsim', ['etdin', 'ilâhî', 'sakın', 'b', 'şeh', 'hikmet', 'asl', 'fitne', 'and', 'hasret'])
('teşbîh', ['üstâd', 'yol', 'kon', 'feth', 'adl', 'dök', 'rû', 'kân', 'perde', 'hayr'])
('gâh', ['çarh', 'zülf', 'gâlib', 'reng', 'ver', 'san', 'bul', 'sultân', 'kıl', 'ban'])
('va’d', ['zîr', 'cenâb', 'leb', 'ebr', 'gâlib', 'hatt', 'rûz', 'gül', 'anı', 'etme'])
('şümâr', ['tanîn', 'belî', 'hunkâr', 'şâhenşâh', 'evi', 'hırâm', 'nakkâş', 'pâkî', 'kanâdil', 'kâil'])
('enzâr', ['beyhân', 'nâle', 'keder', 'güher', 'egerçi', 'gayb', 'dünyâya', 'demş', 'ham', 'ahmed'])
('dârâ', ['mürşîd', 'kâfile', 'mevzû', 'edâsıdır', 'söyleyeyim', 'giyş', 'gaznevî', 'eşheb-veş', 'sehâb', 'sa’y'])
('inâyet', ['gâh', 'mülk', 'kerâmet', 'girye', 'hûn', 'cây', 'monlâ', 'anı', 'gûyâ', 'nâm'])
('kadr', ['ver', 'et', 'sultân', 'âlem', 'mihr', 'kıl', 'çeşm', 'cenâb', 'gâlib', 'nâz'])
('güm', ['hidmet', 'top', 'hatâ', 'kân', 'ûd', 'mevlânâdır', 'îmân', 'kâm-yâb', 'mehd', 'esbak'])
('kalıp', ['târâb', 'eglenmez', 'rakîb', 'besle', 'hala', 'şerâre', 'nev-edâ', 'revgan', 'himmetidir', 'post-n'])
