('cûş', ['gülzâr', 'safâ-yı', 'dil-ber', 'sûret', 'dîvâne', 'yol', 'geç', 'şehr', 'sahn', 'gûyâ'])
('şekk', ['safâ-yı', 'riyâ', 'gider', 'şemşîr', 'üzre', 'hâtır', 'yiridür', 'meded', 'şu’le', 'gün'])
('sitâre', ['tîr', '‘aşka', 'cefâ', 'sultân', 'çeşm', 'seyr', 'göñül', 'iç', 'belâ', 'hâl'])
('âteş', ['‘âşık', 'bâkıyâ', 'yâr', 'bil', 'yol', '‘aşk', 'dil', 'çemen', 'cihân', 'gör'])
('dîde', ['gül', 'bâkî', 'gör', 'gam', 'çeşm', 'kıl', 'dil', 'gamze', 'yâr', 'kûy'])
('baht', ['yâr', 'felek', 'kûy', 'çemen', 'câm', 'şâh', 'hüsn', 'cihân', 'sîne', 'bezm'])
('zebûn', ['nakş', 'hemân', 'kâmet', 'sal', 'ten', 'hân', 'bud', 'âyîn', 'dü', 'geh'])
('mekr', ['peydâ', 'haste', 'cinân', 'hakk', 'belâgat', 'gâh', 'hazân', 'ney', 'tâlib', 'hicrân'])
('çık', ['üzre', '‘aceb', 'gül', 'felek', 'bezm', 'bâkî', 'gün', 'hâk', 'gam', 'yol'])
('hakkâ', ['cevr', 'tut', 'çek', 'nâb', 'câm', 'gûyâ', 'hat', 'safâ', 'çeşm', 'gam'])
('kef', ['meded', 'encüm', 'ayagı', 'kaş', 'fark', 'deşt', 'değerik', 'dîvâne', 'âfitâb', 'hûrşîd'])
('eyyâm', ['kan', 'bâg', 'şâh', 'cân', 'çemen', 'künc', 'dil', 'hançer', 'dil-ber', 'derd'])
('pâk', ['mey', '‘aşk', 'hüsn', 'eşk', 'yâr', 'sîne', 'kal', 'tur', 'câm', 'bâkî'])
('selef', ['lâ-ya’kil', 'ibrâm', 'mâni’', 'özen', 'perîşân', 'bâm', '‘acûz', 'kûs', 'vahdet', 'añma'])
('evsâf', ['şâhid', 'vâ’iz', 'nâm', 'kalem', 'sadâ-yı', 'hemân', 'yem', 'seyl', 'anı', 'gâh'])
('hasret', ['leb', 'çemen', 'seyr', 'sâgar', 'geçe', 'yâr', 'nâz', 'safâ', 'ruh', 'bezm'])
('pür', ['‘âlemde', 'sevdâ', 'çeker', 'dûst', 'meclis', 'âdem', 'nâzük', 'nâb', 'devrân', 'kul'])
('meclis', ['bâkî', 'gül', 'dil', 'cân', 'leb', 'câm', 'gam', 'gel', 'yâr', 'bâkıyâ'])
('perver', ['âvâre', 'evc', 'perde', 'serîr', 'helâk', '‘ar’ar', 'nûr', 'ban', 'dem', 'rûşen'])
('ebr', ['kâmet', 'gam', 'gonca', 'gör', 'kûy', 'göz', 'zülf', 'gamze', 'kıl', 'baş'])
('bahâr', ['bâkî', 'âh', 'gel', 'yâr', 'zülf', 'kıl', 'gör', 'câm', 'cân', 'dil'])
('ney', ['seyr', '‘aşk', 'mâh', 'gör', 'üzre', 'bâkî', 'hâl', 'gam', 'ruhsâr', '‘aceb'])
('medh', ['çıkar', 'âl', 'nihân', 'dün', 'berg', 'gider', 'hevâ', 'nahl', 'subh', 'velî'])
('kilk', ['bî-vefâ', 'tûbâ', 'odur', 'rind', 'dâm', 'geçz', 'fasl', 'serîr', 'nagme', 'hayr'])
('sûsen', ['kâkül', 'encüm', 'terk', 'fark', 'eylez', 'akar', 'kadd', 'bâ’is', 'tâc', 'mihnet'])
('hâtır', ['çemen', 'hâk', 'yaş', 'felek', 'şâh', 'bâkî', 'yâr', 'bil', 'mâh', 'hâl'])
('beyt', ['haber', 'göricek', 'gözle', 'hayrân', 'kaş', 'hadd', 'bir', 'ka’b', 'seher', 'göster'])
('haz', ['değeriz', 'bâ’is', 'katı', 'yig', 'dü', '‘ayş', 'tîg', 'velî', 'geh', 'seher'])
('lâf', ['bürrân', 'n’eyler', 'fenâ', 'sevdâ-yı', 'âvâze', 'mevzû', 'yaraş', 'şerbet', 'sarmaş', 'zîbâ'])
('koy', ['şâh', 'şûh', 'meclis', 'serv', 'eşk', 'ehl', 'iç', 'yol', 'göñül', 'bâkî'])
('ara', ['nâle', 'sultân', 'vefâ', 'şu’le', 'derd', 'nigâr', 'zülf', 'yit', 'göñül', 'cevr'])
('hâl', ['câm', 'gör', 'bâkî', 'gül', 'bâkıyâ', 'zülf', 'gel', 'dil', 'yâr', '‘aşk'])
('dâmân', ['yiridür', 'lâl', 'mıdur', 'yaz', 'visâl', 'söyle', 'yan', 'âyîn', 'devr', 'murâd'])
('rızâ', ['i̇rem', 'silsile', 'nisbet', 'bûs', 'istez', 'ceng', '‘akl', 'teşne', 'hidmet', 'pây'])
('vakt', ['mihr', 'nâz', 'belâ', 'ruh', 'güzel', 'göñül', 'nazm', 'yâr', 'felek', 'şevk'])
('kâh', ['seyl', 'midür', 'şi’r', 'hevâ-yı', 'yiridür', 'kerem', 'bâga', 'pâdişâh', 'firâk', 'göricek'])
('devât', ['dimi', 'kadr', 'âhû', 'sûfî', 'na’l', 'safâ-yı', 'cennet', 'yaz', 'ter', 'şu’le'])
('kasr', ['hadd', 'fenâ', 'üftâde', 'murâd', 'gedâ', 'ş', 'nakd', 'nahl', '‘îd', '‘âşıka'])
('dil', ['bâkî', 'cân', 'yâr', 'gör', 'mâh', 'câm', '‘aşk', 'gül', 'gel', 'sîne'])
('ahter', ['değeri', 'değerik', 'hüsn', 'visâl', 'âyîn', 'sünbül', 'cefâ', 'sîne', 'tâb', 'dûst'])
('mâh', ['dil', 'hâk', 'bâkî', 'gör', 'yâr', '‘aşk', 'gül', 'gam', 'gel', 'cân'])
('burc', ['def’', 'lü’lû-yı', 'ahter', 'tâvûs', 'visâl', 'bâ’is', 'baht', 'cennet', 'olmayıcak', 'dûst'])
('feth', ['iç', 'âl', 'baht', 'gird', 'hayâl', 'dü', 'vasf', '‘ayş', 'şevk', 'cefâ'])
('kâmet', ['gül', 'âh', 'gonca', 'cân', 'yâr', 'gel', 'gam', 'felek', 'göñül', 'gör'])
('revnak', ['şem’', 'hecr', 'hemân', 'göz', 'seyr', 'cevr', 'nesîm', '‘aşk', 'nihâl', 'nergis'])
('hasm', ['nasîb', 'ecel', 'dik', 'tenhâ', 'bûse', 'añma', 'emr', 'tarâvet', 'nemnâk', 'habîb'])
('iklîm', ['zemîn', 'bâkîyi', 'rişte', 'yig', '‘aşka', 'dest', 'nûş', 'rûy', 'hurrem', 'handân'])
('dah', ['dil', 'cân', 'bâkî', 'gör', 'gam', 'gel', 'la’l', 'bâg', 'üzre', 'gül'])
('dûr', ['dehr', 'cism', 'mürg', 'çeker', 'bâkıyâ', 'kenâr', 'devrân', 'rûy', 'nûş', 'bâd'])
('âvâze', ['kan', 'cân', 'değerik', 'leb', 'mest', 'çarh', 'seyl', 'sîne', 'mâh', 'berg'])
('fiten', ['şikeste', 'tûbâ', 'hidmet', 'fidâ', 'şeh', 'hayrân', 'öykü', 'nûr', 'nâfe', 'zevk'])
('kavs', ['nev-bahâr', 'âhir', 'haber', 'murâd', 'dit', 'yaz', 'ka’b', 'şîrîn', 'zahm', 'hâtır'])
('evc', ['hayâl', 'rûh', 'yan', 'ruh', 'kâmet', 'bahr', 'tut', 'felek', 'eger', 'âyîn'])
('bârân', ['hurrem', 'neydügin', 'dâg', 'sal', 'sakın', 'ten', 'tîr', 'kâmet', 'meger', 'kemân'])
('şevk', ['bâkî', 'gel', 'baş', 'gamze', 'gör', 'yâr', 'câm', 'zülf', 'cân', 'gam'])
('devlet', ['üzre', 'çeşm', 'bâkî', 'gül', 'cihân', 'bezm', 'gör', 'âb', 'bâkıyâ', 'cân'])
('erbâb', ['gam', 'tur', '‘aşk', 'güzel', 'zülf', 'baş', 'hâl', 'gör', 'câm', 'şâh'])
('subh', ['leb', 'bâkî', 'la’l', 'cân', 'gör', 'yâr', 'kıl', 'câm', 'bâkıyâ', 'gül'])
('şâm', ['çarh', 'nâr', 'kâmet', 'râh', 'hadd', 'ned', '‘âşık', 'güzel', 'yan', 'kan'])
('per', ['çeng', 'eşk', 'meclis', 'kan', 'gonca', 'bâkî', 'âh', 'göñül', 'tur', '‘âşık'])
('hümâ', ['‘âşıka', 'dil-ber', 'künc', 'dîvâne', 'dûst', 'tol', 'hâr', 'çeşm', 'deñlü', 'na’l'])
('rûh', ['yit', 'gamze', 'dîde', 'bâkıyâ', 'mâh', 'ruh', 'gün', 'gör', 'yâr', 'san'])
('cân', ['dil', 'bâkî', 'gör', 'yâr', 'gam', 'bâg', 'gül', '‘aşk', 'âh', 'câm'])
('îmân', ['ceng', 'eyleyüp', 'neydügin', 'yaraş', 'peymâne', 'sev', 'safâ-yı', 'nergis', 'şekk', 'mülk'])
('gel', ['yâr', 'bâkî', 'dil', 'câm', 'zülf', 'gül', 'gam', 'cân', 'bezm', 'âh'])
('bûy', ['sal', 'naza', 'sâkî', 'sîne', 'iç', 'la’l', 'bâd', 'kıl', 'şarâb', 'mest'])
('söz', ['düş', 'dil', 'âb', 'mihr', 'bâkî', 'yâr', 'kıl', 'la’l', 'câm', 'gam'])
('boy', ['bezm', 'sîne', 'cihân', 'yâr', 'değeri', 'dil-ber', 'gör', 'gel', 'şâh', 'âh'])
('germ', ['hakk', 'fer', 'görü', 'taht', 'hazret', 'gerdûn', 'pür-hûn', 'kerem', 'riyâ', 'seyl'])
('bülbül', ['bâkî', 'yâr', 'dil', 'la’l', 'gam', 'câm', 'âh', 'kıl', 'cân', 'çeşm'])
('minnet', ['felek', 'göz', 'bezm', 'göñül', 'âb', 'mihr', 'dil', 'beñzer', '‘aşk', 'gör'])
('tâbân', ['yaş', 'kadd', 'felek', 'hâk', 'sabâ', 'sâkıyâ', 'vasl', 'gör', 'devlet', 'dil-ber'])
('şeyh', ['şehr', 'kand', 'safha', 'sâkıyâ', 'gök', 'zer', 'hak', 'kaşı', 'gâyet', 'minnet'])
('yârân', ['beñzer', 'hâl', 'bahâr', 'la’l', '‘aşkuñ', 'güzel', 'gonca', 'yan', 'bâkıyâ', 'kal'])
('ârzû', ['zîr', 'şarâb', 'gûyiyâ', 'geh', 'eger', 'hâr', 'leb', 'halk', 'çek', 'lutf'])
('pervâne', ['derûn', 'değeriş', 'dâ’im', 'sâgar', 'çeker', 'dön', '‘aşkuñ', 'zahm', 'salı', 'şem’'])
('fürûzân', ['na’l', 'nâm', 'hümâ', 'olupdur', 'hakîkat', '‘âşıka', 'saf', 'gerdûn', 'sahbâ', 'safâ-yı'])
('hâsılı', ['lâl', 'dil', 'felek', 'cân', 'kadd', 'kıl', 'gör', 'iç', 'düş', 'tur'])
('seyr', ['yâr', '‘aşk', 'âh', 'cân', 'dil', 'bâkî', 'zülf', 'gel', 'câm', 'mey'])
('sabr', ['tut', 'câm', 'kıl', 'bil', 'çeşm', 'san', 'nâb', 'şem’', 'düş', 'gör'])
('bâr', ['eger', 'hecr', 'şâh', 'iste', 'dil', 'felek', 'düş', 'câm', 'cân', '‘aşk'])
('ata', ['bilz', 'pîr', 'dile', 'hilâl', 'nâfe', 'zîr', 'meger', 'ten', 'kanı', 'gonca'])
('sâkî', ['gam', 'yâr', 'cân', '‘aşk', 'bâkî', 'zülf', 'derd', 'sîne', 'baş', 'gün'])
('hayr', ['sev', 'gülşen', 'hançer', 'dil-ber', 'sâgar', 'gamze', 'hayâl', 'şâh', 'sâkî', '‘aşk'])
('elde', ['kûy', 'baş', 'göz', 'derd', 'zülf', 'nâb', 'la’l', 'dil', 'şâh', '‘aşk'])
('mey', ['bâkî', 'dil', 'câm', 'gel', 'gül', 'yâr', 'bil', 'hüsn', 'gör', '‘aşk'])
('şîve', ['nakş', 'tâc', 'anı', 'tur', 'nâle', 'üzre', 'bak', 'sal', 'derd', 'şâh'])
('sun', ['rûy', 'yan', 'ruh', '‘âlem', 'gam', 'tut', 'belâ', 'bâd', 'gamze', 'gonca'])
('çek', ['dil', 'bâkî', 'kıl', 'câm', 'cân', 'gel', 'yâr', 'gör', 'zülf', '‘aşk'])
('süz', ['şeftâlû', 'güftâr', 'misk', 'bâguñ', 'dil-güşâya', '‘azm', 'cûş', 'kol', 'makbûl', 'i̇tdi'])
('zahm', ['gel', 'bâkıyâ', 'bâkî', 'dil', 'gül', 'zülf', 'kıl', 'mihr', 'meclis', 'yâr'])
('peykân', ['virür', 'hat', 'hemân', 'çerâg', 'berg', 'ruh', 'felek', 'tut', 'pâk', 'erbâb'])
('nergis', ['belâ', 'gör', 'kıl', 'cân', 'yâr', 'san', 'gam', 'mâh', 'göz', 'felek'])
('beyâz', ['tâlib', 'zühd', 'ciger', 'ille', 'zîbâ', 'zebân', 'kevser', 'nev-bahâr', 'pervâne', 'fürkat'])
('gamze', ['gül', 'gam', 'gör', 'bâkî', 'yâr', 'dil', 'kıl', 'bil', 'cân', 'la’l'])
('kan', ['cân', 'göz', 'âh', 'baş', 'gam', 'bâkî', 'gel', 'gör', 'yâr', 'mey'])
('eyleş', ['götür', 'piyâle', 'get', 'ten', 'gubâr', 'gevher', 'levh', 'terk', 'bâlâ', 'meger'])
('mecrûh', ['dâ’im', 'bâ’is', 'pâk', 'râh', 'hâr', 'değeriz', 'iç', 'hân', 'dehân', 'şu’le'])
('nâr', ['dîde', 'zülf', 'kıl', 'ehl', 'hâl', 'mâh', 'bülbül', 'baş', 'bâkî', 'tur'])
('ind', ['niçün', 'deyr', 'cem', 'şeb', 'nakd', 'reftâr', 'ille', 'zer', 'subh', 'göze'])
('seher', ['‘âşık', 'mey', 'âh', 'tur', 'hüsn', 'yâr', 'bâkıyâ', 'bil', 'cihân', 'serv'])
('kerre', ['sun', 'nazm', 'dünyâya', 'semt', 'kâkül', 'etrâf', 'nûş', 'terk', 'yem', 'sâkıyâ'])
('kişver', ['semend', 'olupdur', 'öldür', 'meger', 'nigâr', 'iç', 'söz', 'ten', 'değerik', 'dah'])
('âşûb', ['ihsân', 'ciger', 'ebrû', 'gülistân', 'zemîn', 'iste', 'reftâr', 'dil-ber', 'zâhid', 'garaz'])
('hançer', ['cân', 'dil', 'bâg', 'göz', 'kıl', 'câm', 'kûy', 'gül', 'gam', 'mâh'])
('mihmân', ['nûr', 'mir’ât', 'nahl', 'yiridür', 'şûh', 'ney', 'dest', 'cevr', 'zencîr', 'and'])
('peydâ', ['gün', 'dü', 'gör', 'düş', 'gam', 'ruh', 'gül', 'hecr', 'göñül', 'çemen'])
('hakîm', ['rüzgâr', 'âgâz', 'şekker-rîz', 'hayder', 'semen-sîmâ', 'geçmiş', 'hırâmânî', 'dâ’imâ', 'fermân', 'şehd'])
('lerzân', ['kadem', 'kendüyi', 'hey', 'himmet', 'perde', 'üstâd', 'ârzû', 'safâ-yı', 'kûh-ken', 'fenâ'])
('şekl', ['derd', 'nâle', 'hüsnü', 'bil', 'revân', 'dehr', 'çeşm', 'hâk', 'çarh', 'gül'])
('yazar', ['nây', 'lâleye', 'hezârân', 'cilve', 'hükm', 'minnet', 'gülgûn', 'süre', 'yâsemen', 'jâle'])
('levh', ['bâgda', 'şûh', '‘âşık', 'seyr', 'çeker', 'mahabbet', 'hemân', 'göñül', 'yak', 'gamze'])
('kevkeb', ['meger', 'zâr', 'dah', 'şûh', 'çeşm', 'seyr', 'nâle', 'eger', 'hüsnü', 'tut'])
('idrâk', ['cemâl', 'reh', 'subh-dem', 'gûş', 'hûn', 'dile', 'miyân', 'ter', 'âteş', 'yol'])
('bend', ['cân', 'gör', 'zülf', 'bezm', 'ruh', 'bâkî', 'san', 'dil', 'gül', 'gel'])
('taht', ['düş', 'gam', 'sâkî', 'tâze', 'baş', 'şâh', 'sîne', 'yol', 'tur', 'gül'])
('lerze', ['meydân', 'riyâ', 'tâk', 'hak', 'himmet', 'tîg', 'pîr', 'bîmâr', 'safâ-yı', 'geçe'])
('sabâ', ['‘aşkuñ', 'gonca', 'gör', 'tut', 'dil', 'söz', 'dehr', 'serv', '‘aşk', 'bâkî'])
('sürme', ['mushaf', 'rindân', 'mu’attar', 'toz', 'yap', 'güneş', 'nisâr', 'genc', 'gülistân', 'la’lîn'])
('hışm', ['halâs', 'söz', 'âvâre', 'dûd', 'sîm', 'vefâ', 'almaga', '‘arz', 'gubâr', '‘ayş'])
('selâmet', ['zemîn', 'cûy', 'hûn', 'üstindedür', '‘aşkı', 'enver', 'nev-bahâr', 'saç', 'kadr', 'visâl'])
('yaka', ['hüsn', 'la’l', 'çeşm', '‘aşk', 'hâl', 'belâ', 'serv', 'yol', 'yâr', 'kûy'])
('tîr', ['gün', 'üzre', 'âh', 'yâr', '‘aşk', 'bâkî', 'gül', 'gel', 'gülşen', 'seyr'])
('tasvîr', ['bahs', 'seng', 'velî', 'hazret', 'tâc', 'safâ', 'kand', 'ele', 'görel', 'nergis'])
('cebîn', ['sevâd', 'tıfl', 'bârî', 'elem', 'kûh', 'hazân', 'nâr', 'kad', 'rûşen', 'bâkîyi'])
('mevc', ['mecnûn', 'göz', 'hemân', 'âyîn', 'âb', 'bâg', 'safâ', '‘aceb', 'gam', 'felek'])
('nahl', ['mey', 'baş', 'yâr', 'mâh', 'bezm', 'ruh', 'gül', '‘aşk', 'dest', 'gel'])
('mercân', ['yana', 'şikeste', 'çekme', 'semend', 'zülâl', 'hergiz', 'sûret', 'yak', 'yâd', 'devlet'])
('ihsân', ['şevk', 'sâgar', 'düş', 'mahabbet', 'felek', 'geç', 'vasl', 'gam', 'çemen', 'gülşen'])
('müjde', ['deger', 'gird', 'kaşı', 'bâl', 'sa’y', 'eylez', 'hûb', 'velî', 'vücûd', 'kahr'])
('eltâf', ['‘âkil', 'bâga', 'hâtır', 'defter', '‘arz', 'mürg', 'cilve', 'nergis', 'bî-hûş', 'sîm'])
('kat', ['‘âleme', 'na’l', 'eflâk', 'gülzâr', 'safâ-yı', 'güzel', 'hûn', 'değeriş', 'reh', 'tâze'])
('bahri', ['dürc', 'hüner', 'mer', 'izhâr', 'hemîşe', 'sûz', 'miskîn', 'zülâl', 'vefâ', 'gûyiyâ'])
('hâsıl', ['şem’', 'sûret', 'kan', 'sabr', 'değeriz', 'şemşîr', 'çek', 'gör', 'cihân', 'mey'])
('kân', ['zülf', 'hâl', 'ruh', 'la’l', 'câm', 'belâ', 'dil', 'gör', 'baş', 'bâkî'])
('dîvân', ['hatt', 'nûş', 'gözle', 'şîrîn', 'kâmet', 'cânân', 'temâşâ', 'hecr', 'felek', 'nev'])
('devr', ['bâkî', 'dil', 'cân', 'zülf', 'bâg', 'leb', 'bezm', '‘aşk', 'serv', 'sîne'])
('harâb', ['‘âşık', 'bâg', '‘aşk', 'dîde', 'yâr', 'gün', 'mihr', 'la’l', 'seyr', 'cân'])
('süre', ['‘aceb', 'tut', 'vasf', 'cevr', 'eşk', 'güzel', 'mihr', 'bâkî', 'hüsn', 'ehl'])
('gâhî', ['kaş', 'dîvâne', 'yana', 'vasf', 'hurrem', 'bud', '‘aşkuñ', 'cennet', 'pertev', 'sahn'])
('sal', ['‘aşk', 'gül', 'dil', 'bil', 'cihân', 'yâr', 'ruh', 'kıl', 'sîne', 'bâkî'])
('gûyâ', ['gül', 'dil', 'düş', 'mâh', 'yâr', 'kıl', 'çeşm', 'gör', 'cân', 'sîne'])
('nisâr', ['göz', 'kûy', 'nesîm', 'ruhsâr', 'gam', 'safâ', 'mâh', 'bülbül', 'derd', 'bil'])
('cedvel', ['pâyân', 'edâ-yı', 'dîdâr', 'iriz', 'ucından', 'reftâr', 'gülistân', 'bisât', 'pâdişâh', 'dimi'])
('hatt', ['bil', 'yâr', 'gam', 'güzel', 'ruh', 'hüsn', 'kıl', 'çeşm', 'câm', '‘aşk'])
('kudret', ['deñlü', 'pâre', 'çarh', 'nihâl', 'cism', '‘aşka', 'nâle', 'âteş', 'bud', 'minnet'])
('imkân', ['bilş', 'ser-â-pâ', 'güm', 'fürkat', 'müşgîni', 'zehî', 'bihişt', 'mâliküz', 'bas', 'gussa'])
('bâb', ['dil-rübâ', 'kesb', 'cem', 'pençe', 'kayd', 'kitâb', 'beden', 'mu’attar', '‘uşşâk', 'hudâvend'])
('eyvân', ['yara', 'teşne', 'habâb', 'kemend', 'efendi', 'eyyâm', 'dit', 'sünbül', '‘azm', 'cümle'])
('sehâb', ['devri', 'şu’le', 'vâ’iz', 'mıdur', 'murâd', 'eser', 'ehl', 'gevher', '‘âlem', 'tab’'])
('revân', ['dil', 'çeşm', 'cân', 'serv', 'bâg', 'yâr', 'bâkî', 'mâh', 'kûy', 'âh'])
('şihâb', ['bagladı', 'ihsân', 'bârî', 'siyeh', '‘aynına', 'câh', 'enver', 'şeref', 'nâ-yâb', 'feth'])
('kadd', ['yâr', 'gel', 'bâkî', 'dil', '‘aşk', 'cân', 'kıl', 'gam', 'baş', 'gör'])
('saht', ['du’â-yı', 'kişver', 'virmek', 'dâmân', 'istez', 'karanfül', 'hâsıl', 'müşgîni', 'hokka', 'hayr'])
('ân', ['cür’a', 'bâl', '‘âdil', 'harâb', 'velî', 'sanem', 'nihâl', 'berg', 'âl', 'dûst'])
('hurûş', ['dil-berden', 'olay', 'âgâz', 'şikâyet', 'hâşâk', 'virmez', 'aglar', 'kadîm', 'haste-dil', 'la’lîn'])
('sipâh', ['kalem', 'sür', 'kadeh', '‘âlemüñ', 'sahbâ', 'çihre', 'gubâr', 'gözle', 'gama', 'subh-dem'])
('pây', ['bend', 'bezm', 'gör', 'zülf', 'geçe', 'bâg', 'cân', 'göñül', 'mahabbet', 'tâze'])
('hak', ['hâk', 'cân', 'dön', 'üzre', 'gör', 'dil', 'yâr', '‘aşk', 'meclis', 'gam'])
('cevâb', ['şehr', 'pâre', 'gice', 'elde', 'gehî', 'gevher', 'hurrem', 'cevr', 'gülzâr', 'seher'])
('girân', ['nâm', 'saç', 'dâne', '‘aşka', 'görz', 'halk', 'baht', 'koy', 'hevâ', 'nakş'])
('kazâ', ['cihân', 'nihâl', 'şem’', 'sâkî', 'ehl', '‘aceb', 'san', 'âh', 'tur', 'sünbül'])
('hûn', ['üzre', 'hâl', 'dil', 'göz', 'câm', 'derd', 'çemen', 'belâ', 'bil', 'mâh'])
('nusret', ['gevher', 'dil-ber', 'subh-dem', 'siyâh', 'yana', 'anı', 'dit', 'iste', 'söyle', 'seyr'])
('garîb', ['mâ’il', 'kan', 'kân', 'dîvâne', 'ned', 'cism', 'şûh', 'mest', 'yak', 'hâr'])
('rûz', ['hat', 'safâ', 'mahabbet', 'meclis', 'hâl', 'göz', 'şarâb', 'derd', 'tut', 'hüsn'])
('yâd', ['kal', 'bâkıyâ', 'kıl', 'bâkî', '‘aşk', 'göz', 'beñzer', 'la’l', 'tut', 'üzre'])
('gûne', ['kavl', 'der-miyân', 'virmek', 'sevdâ-yı', 'gülstân', 'lebüñsüz', 'kop', 'nâme', 'şekker-rîz', 'i’câz'])
('berg', ['çeşm', 'bâkî', 'cân', 'baş', 'yâr', 'âh', 'kıl', 'sîne', 'gel', 'şâh'])
('hazân', ['cân', 'kal', 'revân', 'kıl', 'zemîn', 'düş', 'devlet', 'yit', 'bezm', 'bend'])
('garrâ', ['zahm', 'kul', 'çemen', 'kâmet', 'felek', 'gel', 'vasl', 'açı', 'zülf', '‘âlemde'])
('yaz', ['seyr', 'âh', 'gör', 'yâr', 'bil', 'gel', 'bâkî', 'câm', 'eşk', '‘aşk'])
('bülend', ['ter', 'şevk', 'cihân', 'baş', '‘aşk', 'eşk', 'ruh', 'mihr', 'la’l', 'pâk'])
('tarab', ['‘akl', 'hakîkat', 'tol', 'kâse', 'âşüfte', 'sohbet', 'diş', 'müje', 'sahbâ', 'misk'])
('câvidân', ['sâye', 'şeh', 'hvâb', 'ney', 'mürg', 'pâre', 'tîg', 'nâr', 'nesîm', 'peydâ'])
('fikr', ['şem’', 'belâ', 'bâd', 'devr', 'yol', 'geçe', 'serv', 'üzre', 'gonca', 'eşk'])
('zikr', ['devlet', 'sâkî', 'nesîm', 'dün', 'bak', 'zencîr', '‘ayş', 'lutf', 'yaş', 'seyr'])
('kalb', ['leb', 'kadd', 'tur', 'çemen', 'vasl', 'felek', 'sultân', 'hemân', 'meclis', 'cevr'])
('hâlet', ['kadd', 'vefâ', 'âb', '‘aşk', 'hecr', 'san', 'dil-ber', 'gül', 'derd', 'leb'])
('âgâh', ['kıssa', 'vire', 'tecellî', 'çekdügi', 'hazân', 'ayagın', 'kanla', 'nükte', 'reh', 'tâk'])
('kevn', ['esrâr', 'niyâz', 'âl', 'dûd', 'kemend', 'mürg', 'hüsnü', 'bit', 'ney', 'sâkî'])
('mekân', ['meger', 'kâmet', 'cemâl', 'cevr', '‘aceb', 'çeker', 'zîr', 'seyr', 'mâh', 'leb'])
('hamd', ['ille', 'dikkat', 'meykede', 'hûb', 'cem’', 'çal', 'habâb', 'murassa’', 'fitne', 'kıble'])
('mutlak', ['idicek', 'gül-reng', 'duhân', 'uçdı', 'sark', 'derdmend', 'hümâ', 'sahr', 'nizâ', 'cilâ'])
('şâh', ['göñül', 'san', 'bâkî', 'dil', 'gör', 'yâr', 'cân', 'kıl', 'düş', 'sîne'])
('ner', ['bilş', '‘îd', 'tâbân', 'midür', 'dâ’im', 'hayrân', 'şehâ', 'eflâk', 'maksûd', 'pervâne'])
('râyet', ['nâlân', 'bürrân', 'turmayup', 'eksük', 'nâr', 'nâfe', 'levh', 'vâ’iz', 'bâlâ', 'hicrân'])
('dehr', ['bâkî', 'yâr', 'gör', '‘aşk', 'zülf', 'hâl', 'baş', 'hâk', 'kıl', 'bul'])
('âşiyân', ['mâhîye', 'çekdügümi', 'ayagın', 'zamâne', 'cilveger', 'harâret', 'sâz', 'mefâ’îlün', 'tarîk', 'artuk'])
('yan', ['kıl', 'san', 'tut', 'dil', 'yâr', 'mâh', 'câm', 'gam', 'gül', 'gör'])
('hâs', ['şîrîn', 'kemân', 'nisâr', 'tîg', 'dem-â-dem', 'zemîn', 'sîm', 'şikeste', 'mânend', 'kaşı'])
('kemer', ['nûr', 'sa’y', 'ciger', 'sevdâ', 'şâd', 'dervîş', 'zemîn', 'tıfl', 'yârân', 'fark'])
('isbât', ['kes', 'nükte', 'çog', 'bâz', 'telh', 'görel', 'zamânıdur', 'engüşt', 'nasîb', 'i̇tdi'])
('delîl', ['dendân', 'tâlib', 'âsitân', 'çıkmaya', 'nic’olur', 'şehâ', 'yüri', 'letâfet', 'bundadur', 'nâ-geh'])
('cevher', ['hâr', 'rengîn', 'gün', 'geç', 'beñzer', 'tîr', 'terk', 'zülf', 'san', 'dile'])
('keme', ['zîr', 'söyle', 'bîmâr', 'elde', 'tâze', 'rûy', 'pâk', 'rûh', 'tur', 'hâr'])
('murâd', ['göñül', 'san', 'belâ', 'gör', 'cefâ', 'mey', 'bâkıyâ', 'leb', 'bil', 'câm'])
('mûr', ['döner', 'çeşme', 'kaşı', 'sa’y', 'mecrûh', 'gehî', 'peydâ', 'geh', 'kattâl', 'bâl'])
('miyân', ['çeşm', 'baş', 'serv', 'kıl', 'dil', 'san', 'cân', 'gonca', 'gam', 'bâkî'])
('himmet', ['göñül', '‘aşk', 'bil', 'cân', 'yâr', 'vasl', 'belâ', 'şâh', 'gel', 'dil'])
('mürüvvet', ['çıkmaz', 'i̇tdi', 'sa’y', 'lâleveş', 'varak', '‘âlem-tâb', 'hakk', 'göze', '‘aklı', 'târ'])
('huşk', ['yahşı', 'fırâkuñ', 'safâ-bahş', 'kabâyı', 'beyt', 'temennâ', 'als', 'nâza', 'mey-fürûş', 'hicâb'])
('serv', ['bâkî', 'baş', 'yâr', 'dil', 'âh', 'gör', 'zülf', 'gel', 'cân', 'çeşm'])
('efkâr', ['bâlâ', 'çekme', 'eylem', 'ceng', 'mâ’il', 'saltanat', 'cem', 'hergiz', 'çeng', 'elinden'])
('âş', ['bûy', 'meded', 'gubâr', 'müje', 'himmet', 'yak', 'bud', 'devr', 'gûyiyâ', 'rûz'])
